,Luchthaven,Jaartal,Totaal ATM,Totaal Commercieel ATM,C. Geregeld PAX ATM,C. Geregeld Cargo ATM,C. Ongeregeld PAX ATM,C. Ongeregeld Cargo ATM,C. Brandstof ATM,C. Positievlucht ATM,C. Taxivlucht ATM,C. Fotovlucht ATM,C. Rondvlucht ATM,C. Reclamevlucht ATM,C. Spuitvlucht ATM,C. Ambulancevlucht ATM,C. Overig ATM,Totaal Non-Commercieel ATM,NC. Zakenvlucht ATM,NC. Privévlucht ATM,NC. Valschermvlucht ATM,NC. Zweefsleepvlucht ATM,NC. Politievlucht ATM,NC. Inspectievlucht ATM,NC. Maatschappelijke vlucht ATM,NC. Les/Oefenvlucht ATM,NC. Proef/Testvlucht ATM,NC. Overig ATM,Regio,Regio Totaal
43,Drachten,2020,4339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4339.0,7.0,4276.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,54.0,Noord,22598.0
44,Hoogeveen,2010,17649.0,313.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,71.0,164.0,63.0,1.0,12.0,0.0,17336.0,10.0,6409.0,1240.0,3761.0,82.0,167.0,0.0,5656.0,1.0,10.0,Noord,26259.0
45,Hoogeveen,2011,20586.0,329.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,266.0,37.0,0.0,4.0,0.0,20257.0,2.0,7374.0,1362.0,3785.0,50.0,166.0,0.0,7475.0,39.0,4.0,Noord,29596.0
46,Hoogeveen,2012,17581.0,258.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,22.0,170.0,49.0,0.0,0.0,8.0,17323.0,5.0,6555.0,1193.0,3554.0,30.0,153.0,0.0,5769.0,40.0,24.0,Noord,25016.0
47,Hoogeveen,2013,15431.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,42.0,34.0,0.0,4.0,0.0,15345.0,0.0,5686.0,1203.0,3402.0,14.0,91.0,0.0,4918.0,31.0,0.0,Noord,23444.0
48,Hoogeveen,2014,13902.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,49.0,0.0,10.0,0.0,13817.0,0.0,4882.0,1377.0,3157.0,12.0,126.0,0.0,4257.0,6.0,0.0,Noord,22929.0
49,Hoogeveen,2015,13921.0,66.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,34.0,0.0,10.0,8.0,13855.0,6.0,5005.0,1210.0,3452.0,36.0,141.0,0.0,3966.0,35.0,4.0,Noord,23334.0
50,Hoogeveen,2016,12045.0,149.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,20.0,78.0,0.0,7.0,32.0,11896.0,21.0,5283.0,1229.0,2742.0,28.0,162.0,0.0,2280.0,122.0,29.0,Noord,21080.0
51,Hoogeveen,2017,11166.0,47.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,8.0,20.0,0.0,4.0,6.0,11119.0,12.0,5564.0,986.0,2441.0,14.0,102.0,0.0,1922.0,66.0,12.0,Noord,20284.0
52,Hoogeveen,2018,15122.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,70.0,0.0,3.0,63.0,14910.0,5.0,7591.0,936.0,3920.0,17.0,47.0,40.0,2275.0,66.0,13.0,Noord,25768.0
53,Hoogeveen,2019,13593.0,105.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,28.0,48.0,0.0,11.0,9.0,13488.0,23.0,6635.0,821.0,2587.0,19.0,48.0,17.0,3143.0,120.0,75.0,Noord,22740.0
54,Hoogeveen,2020,14955.0,76.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,10.0,2.0,32.0,0.0,6.0,18.0,14879.0,27.0,7813.0,596.0,2518.0,9.0,41.0,18.0,3682.0,125.0,50.0,Noord,22598.0
55,Hilversum,2010,40846.0,1332.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,674.0,256.0,363.0,4.0,5.0,23.0,39514.0,652.0,14289.0,1407.0,1806.0,6.0,163.0,18.0,20468.0,374.0,331.0,West,90405.0
56,Hilversum,2011,46728.0,1078.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,308.0,193.0,0.0,7.0,5.0,45650.0,602.0,16837.0,847.0,1951.0,2.0,108.0,4.0,24886.0,59.0,354.0,West,96081.0
57,Hilversum,2012,43738.0,936.0,0.0,0.0,2.0,0.0,2.0,13.0,1.0,527.0,188.0,177.0,0.0,5.0,21.0,42802.0,750.0,14163.0,1251.0,1894.0,22.0,152.0,4.0,23866.0,72.0,628.0,West,90061.0
58,Hilversum,2013,38803.0,872.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,478.0,240.0,134.0,0.0,4.0,12.0,37931.0,391.0,12986.0,991.0,1688.0,6.0,166.0,0.0,21301.0,44.0,358.0,West,83174.0
59,Hilversum,2014,45359.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,196.0,107.0,0.0,6.0,4.0,44556.0,357.0,17541.0,1036.0,2320.0,2.0,193.0,0.0,22917.0,18.0,172.0,West,92203.0
60,Hilversum,2015,43120.0,692.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,456.0,84.0,115.0,0.0,33.0,0.0,42428.0,204.0,17651.0,1118.0,1655.0,10.0,80.0,10.0,21465.0,26.0,209.0,West,89788.0
61,Hilversum,2016,45377.0,442.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,367.0,28.0,6.0,0.0,38.0,2.0,44935.0,187.0,18311.0,1055.0,1781.0,4.0,85.0,91.0,23259.0,54.0,108.0,West,90888.0
62,Hilversum,2017,43293.0,429.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,324.0,22.0,6.0,0.0,44.0,26.0,42864.0,140.0,16849.0,1083.0,1570.0,0.0,112.0,110.0,22718.0,46.0,236.0,West,87692.0
63,Hilversum,2018,45044.0,441.0,0.0,0.0,0.0,2.0,4.0,14.0,0.0,298.0,72.0,7.0,0.0,38.0,6.0,44603.0,178.0,17921.0,1261.0,1900.0,3.0,114.0,203.0,22747.0,18.0,258.0,West,94398.0
64,Hilversum,2019,42574.0,310.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,156.0,22.0,1.0,0.0,96.0,11.0,42264.0,88.0,15639.0,1076.0,1390.0,6.0,155.0,265.0,23512.0,34.0,99.0,West,95213.0
65,Hilversum,2020,41571.0,217.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,158.0,26.0,2.0,0.0,12.0,2.0,41354.0,69.0,17718.0,562.0,1600.0,8.0,94.0,316.0,20851.0,36.0,100.0,West,91733.0
66,Lelystad,2010,125679.0,7545.0,3.0,1.0,0.0,1.0,27.0,985.0,0.0,351.0,5960.0,53.0,0.0,4.0,160.0,118134.0,775.0,31296.0,26.0,0.0,160.0,243.0,41.0,85084.0,317.0,192.0,Oost,193076.0
